FileName,FileTime,Integration time,Analog gain,Digital gain,AE Mean,AEConverged
A39D2690.JPG,2026-06-23 00:25:13,6,0,64,84,Y
A39D5C70.JPG,2026-06-23 00:39:35,4,0,64,76,Y
A39D9260.JPG,2026-06-23 00:53:58,3,0,64,67,Y
A39DC850.JPG,2026-06-23 01:08:21,4,0,64,69,Y
A39DFE40.JPG,2026-06-23 01:22:44,6,0,64,76,Y
A39E3430.JPG,2026-06-23 01:37:07,4,0,64,75,Y
A39E6A30.JPG,2026-06-23 01:51:31,3,0,65,59,Y
A39EA020.JPG,2026-06-23 02:05:54,2,0,65,60,Y
A39ED620.JPG,2026-06-23 02:20:18,4,0,64,58,Y
A39F0C20.JPG,2026-06-23 02:34:42,3,0,64,79,Y
A39F4220.JPG,2026-06-23 02:49:06,4,0,64,57,Y
A39F7820.JPG,2026-06-23 03:03:30,8,0,64,65,Y
A39FAE20.JPG,2026-06-23 03:17:54,28,0,64,65,Y
A39FE420.JPG,2026-06-23 03:32:18,39,0,64,72,Y
A3A01A10.JPG,2026-06-23 03:46:41,7,0,64,70,Y
A3A05000.JPG,2026-06-23 04:01:04,74,0,64,65,Y
A3A085F0.JPG,2026-06-23 04:15:27,47,0,64,60,Y
A3A0BBE0.JPG,2026-06-23 04:29:50,188,0,64,65,Y
A3A0F1C0.JPG,2026-06-23 04:44:12,154,0,64,68,Y
A3A15D80.JPG,2026-06-23 05:12:56,376,1,67,59,Y
A3A19360.JPG,2026-06-23 05:27:18,376,4,64,58,Y
A3A1C930.JPG,2026-06-23 05:41:39,376,4,130,60,Y
A3A1FF10.JPG,2026-06-23 05:56:01,376,4,192,17,N
A3A234F0.JPG,2026-06-23 06:10:23,376,4,192,26,N
A3A26AC0.JPG,2026-06-23 06:24:44,376,4,192,23,N
A3A2A0A0.JPG,2026-06-23 06:39:06,376,4,192,22,N
A3A2D680.JPG,2026-06-23 06:53:28,376,4,192,20,N
A3A30C50.JPG,2026-06-23 07:07:49,376,4,192,20,N
A3A34230.JPG,2026-06-23 07:22:11,376,4,192,20,N
A3A37810.JPG,2026-06-23 07:36:33,376,4,192,24,N
A3A3ADE0.JPG,2026-06-23 07:50:54,376,4,192,23,N
A3A3E3C0.JPG,2026-06-23 08:05:16,376,4,192,23,N
A3A41990.JPG,2026-06-23 08:19:37,376,4,192,23,N
A3A44F60.JPG,2026-06-23 08:33:58,376,4,192,23,N
A3A48530.JPG,2026-06-23 08:48:19,376,4,129,76,Y
A3A4BB10.JPG,2026-06-23 09:02:41,376,4,129,74,Y
A3A4F0E0.JPG,2026-06-23 09:17:02,376,4,192,8,N
A3A526C0.JPG,2026-06-23 09:31:24,376,4,192,7,N
A3A55C90.JPG,2026-06-23 09:45:45,376,4,192,8,N
A3A59270.JPG,2026-06-23 10:00:07,376,4,192,7,N
A3A5C840.JPG,2026-06-23 10:14:28,376,4,192,7,N
A3A5C850.JPG,2026-06-23 10:14:29,376,4,192,6,N
A3A633F0.JPG,2026-06-23 10:43:11,376,4,192,5,N
A3A669C0.JPG,2026-06-23 10:57:32,376,4,192,5,N
A3A69FA0.JPG,2026-06-23 11:11:54,376,4,192,3,N
A3A6D560.JPG,2026-06-23 11:26:14,376,4,192,2,N
A3A70B40.JPG,2026-06-23 11:40:36,376,4,192,2,N
A3A74110.JPG,2026-06-23 11:54:57,376,4,192,2,N
A3A776E0.JPG,2026-06-23 12:09:18,376,4,192,2,N
A3A7ACC0.JPG,2026-06-23 12:23:40,376,4,192,2,N
A3A7E290.JPG,2026-06-23 12:38:01,376,4,192,2,N
A3A81860.JPG,2026-06-23 12:52:22,376,4,192,2,N
A3A84E40.JPG,2026-06-23 13:06:44,376,4,192,3,N
A3A88410.JPG,2026-06-23 13:21:05,376,4,192,2,N
A3A8B9E0.JPG,2026-06-23 13:35:26,376,4,192,2,N
A3A8EFC0.JPG,2026-06-23 13:49:48,376,4,192,2,N
A3A92590.JPG,2026-06-23 14:04:09,376,4,192,2,N
A3A95B60.JPG,2026-06-23 14:18:30,376,4,192,2,N
